,symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,power_to_weight,num_cylinders,engine_size_per_cylinder,combined_mpg,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_renault,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,fuel-type_gas,aspiration_turbo,num-of-doors_two,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_fwd,drive-wheels_rwd,engine-location_rear,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,num-of-cylinders_five,num-of-cylinders_four,num-of-cylinders_six,num-of-cylinders_twelve,num-of-cylinders_two,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi
178,1.681356243736222,2.244922821068577,0.6930842129732925,0.7704390849518196,0.8741234704398991,-0.706917804593436,0.8295270237947574,1.119644989104472,-0.18272043157863457,0.29091622719316573,-0.2050400973449345,1.5214307205722162,0.12153794926931474,-0.8312720138687033,-1.0211804480285664,1.5028304097395733,1.5136460155383193,-0.059944088462578364,-0.9364810065270021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
90,0.0791226467640575,0.15708295969037955,-0.7120841377627876,-0.7422216316173618,-1.0172162851215028,0.30510662403979033,-1.0630020434442284,-0.5785526151878129,-1.238541931757844,0.6676924734713238,3.054268731410465,-1.3002571867251267,-0.6903856705916789,3.289476647291944,3.05579779566463,-1.3731892210113872,-0.3440104580768906,-0.6190178793225662,3.1966418972796697,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
173,-1.5231109502081068,-1.7492056093940616,0.6094432397151925,0.11384459808937186,0.2921727764210057,0.46703053262110594,-0.4532090488906866,-0.10405622575320385,-0.03188878869589011,0.8874786171335819,-0.36024527966662057,-0.31532838889492215,-1.9082711003831694,0.6521975041491298,0.5468881072380476,-0.05640619547921072,-0.3440104580768906,0.34665503216286736,0.6033098792048953,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
93,0.0791226467640575,-0.5993807582002717,-0.7120841377627876,-0.3349668233102761,-1.0172162851215028,-0.09970314741350018,-1.0491879626614622,-0.7283935802724262,-0.635215360226868,0.10252810405408674,-0.17917256695798697,-0.9275814253839683,0.12153794926931474,0.9818573970419816,1.0173086738180317,-0.6418705881974477,-0.3440104580768906,-0.9239672197916505,1.008518007029079,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
5,0.8802394452501398,-0.14550252746588094,0.17451017877307134,0.25513708260407714,0.19518099408452233,-0.26162705599481584,-0.09601638865058601,0.2455726927775607,-0.4843837173441235,0.4479063298090642,-0.4119803404405156,0.16382616140085304,0.73048066416506,-0.9961019603151292,-0.8643735925019049,0.4071081900577112,0.5848177787307144,-0.3242335168691182,-0.9364810065270021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
167,0.8802394452501398,0.3386342519841358,-0.05968454634960708,0.16371253380044334,-0.14429024409316604,-0.706917804593436,-0.03089286496040193,0.4953076345852496,1.1370564436453787,0.7618865350408626,-0.2050400973449345,0.3235443448327781,-0.6903856705916789,-0.17195222808299968,-0.080339314868598,0.5992070459612924,-0.3440104580768906,1.5664523940392046,-0.126064750878635,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
56,1.681356243736222,0.8227710314341526,-0.5782585805498281,-0.434702694732419,-0.09579435292492092,-1.6784612560813326,-0.3466432828522035,-1.4026779231531863,-0.03188878869589011,0.10252810405408674,-0.17917256695798697,-0.07575111374703455,1.745385188991302,-1.325761853207981,-1.1779873035552277,0.25273759200303725,-2.2016669316921007,1.2615030535701202,-1.260647508786349,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
128,1.681356243736222,-0.14550252746588094,-1.5484938703437872,-0.44301401735093054,-0.4352655911026093,-0.8688417131747516,0.4822015641137757,1.6940353552621565,1.589551372293612,-1.121994696349926,-0.15330503657103944,2.7459367935503085,1.5424042840260537,-1.325761853207981,-0.8643735925019049,3.6282969245718673,1.5136460155383193,0.7193708927361931,-1.0985642576566754,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
76,0.8802394452501398,1.1556150673060392,-0.8459096949757471,-1.407127441098321,-0.7262409381120526,-1.1926895303373857,-1.2583726145147807,-0.8532610511762707,-1.3139577531992164,-0.08586001908499226,-0.17917256695798697,-0.9542011226226225,0.73048066416506,1.9708370757205371,1.6445360959246773,-0.4958050958481561,-0.3440104580768906,-1.1780916701825541,1.8189342626774458,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
144,-0.7219941517220247,-0.6296393069158978,-0.2938792714722879,-0.18536301617705933,-0.24128202642964255,0.22414466974913108,-0.33677608229308476,-0.4536851442839684,1.1370564436453787,-1.9383432299526004,-0.28264268850577756,-0.5815253612814639,-0.6903856705916789,-0.17195222808299968,-0.8643735925019049,-0.6107168729957662,-0.3440104580768906,-0.36489342893166266,-0.5312728787028186,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
104,1.681356243736222,2.154147174921699,-1.2473863666146277,-0.2934102102177161,0.9711152527763824,-1.637980278936003,1.0170038344180146,1.369379930912161,0.4206061399523433,0.03973206300772708,-0.28264268850577756,1.494811023333562,0.12153794926931474,-0.9961019603151292,-0.8643735925019049,1.28854103374181,1.5136460155383193,0.27888851205862664,-0.9364810065270021,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
177,-1.5231109502081068,-1.7492056093940616,0.6094432397151925,0.11384459808937186,0.2921727764210057,0.06222076116781544,-0.19271495412995024,-0.10405622575320385,-0.03188878869589011,0.8874786171335819,-0.36024527966662057,-0.31532838889492215,-1.9082711003831694,0.32253761125627806,0.23327439618472479,-0.2840842834192083,-0.3440104580768906,0.34665503216286736,0.2791433769455485,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
75,0.0791226467640575,-0.14550252746588094,0.659627823670052,0.3465616314077085,1.0196111439446207,0.42654955547577633,0.6992799764143893,0.34546666950063626,1.7403830151763549,-0.43123824483996975,-0.5413179923752538,1.8941064819133746,-0.2844238606611821,-0.9961019603151292,-1.0211804480285664,2.1500382830920013,-0.3440104580768906,1.2615030535701202,-1.0175226320918387,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
174,-1.5231109502081068,-1.7492056093940616,0.6094432397151925,0.11384459808937186,0.2921727764210057,0.46703053262110594,-0.14929927166982754,-0.40373815592243056,-0.18272043157863457,0.29091622719316573,3.2094739137321513,-0.8211026364293516,-1.299328385487424,0.8170274505955557,0.3900812517113862,-1.140881934893023,-0.3440104580768906,-0.2632436487753012,0.6033098792048953,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
31,0.8802394452501398,0.429409898131014,-2.033611515240768,-2.4626654136493453,-0.968720393953261,-1.1926895303373857,-1.4537431855853329,-0.8532610511762707,-1.5402052175233332,0.4793043503322448,-0.23090762773188248,-0.741243544713389,1.745385188991302,0.9818573970419816,1.1741155293446932,0.18244544601923574,-0.3440104580768906,-1.1780916701825541,1.0895596325939156,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
12,-0.7219941517220247,1.9725958826279424,0.40870490389575215,0.21358046951151716,-0.5322573734390926,0.22414466974913108,0.3045919540496373,0.9448305298390898,-0.03188878869589011,-0.2114521011777116,-0.28264268850577756,0.456642831026049,-1.806780647900545,-0.6664420674222774,-0.3939530259219208,0.4898906838588976,1.5136460155383193,-0.29712690882742193,-0.5312728787028186,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
35,-0.7219941517220247,-0.3875709171908893,-0.3775202447303878,-0.90013676136909,-0.9202245027850193,0.30510662403979033,-1.0768161242269947,-0.8532610511762707,-1.5402052175233332,0.4793043503322448,-0.23090762773188248,-0.741243544713389,1.745385188991302,0.8170274505955557,0.5468881072380476,-0.24312285247071333,-0.3440104580768906,-1.1780916701825541,0.684351504769732,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
125,1.681356243736222,1.9120787851966903,-0.7120841377627876,-0.44301401735093054,1.1650988174493424,-1.4355753932093578,0.43878588165365295,0.620175105489094,2.3437095867073325,-0.4626362653631503,-0.15330503657103944,1.042276170276441,0.73048066416506,-0.9961019603151292,-0.5507598814485821,1.221610898147515,-0.3440104580768906,1.820576844430108,-0.7743977553973287,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
42,0.0791226467640575,-0.4783465633377675,-0.3775202447303878,-0.42639137211390754,0.0496933205798007,-1.1117275760467265,-0.5183325725808706,-0.40373815592243056,-0.635215360226868,1.0130706992263012,-0.25677515811883,-0.10237081098568873,0.73048066416506,-0.0071222816365737705,0.07646754065806341,0.3785793504061151,-0.3440104580768906,-0.2632436487753012,0.03601850025103841,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
156,-0.7219941517220247,-0.9624833427877842,-0.5113458019433472,-0.6591084054322418,-0.7262409381120526,-0.30210803314014545,-0.9367018762875078,-0.7034200860916573,-0.4843837173441235,-0.7138204295485889,-0.28264268850577756,-0.9009617281453141,-0.6903856705916789,0.8170274505955557,1.0173086738180317,-0.6904524781522203,-0.3440104580768906,-0.8731423297134698,0.9274763814642422,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
136,1.681356243736222,0.8227710314341526,0.05741281621173095,1.0280900861256907,0.2921727764210057,0.9528022583650557,0.49798908500836575,-0.12902971993397275,0.8353931578798898,-0.5882283474558696,-0.28264268850577756,1.494811023333562,0.73048066416506,-0.9961019603151292,-0.7075667369752435,1.8115990677971077,-0.3440104580768906,0.29583014208468666,-0.8554393809621653,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
140,0.8802394452501398,-1.2045517325127926,-0.9128224735822279,-1.407127441098321,-1.0172162851215028,0.79087834978374,-0.62292489850753,-0.4536851442839684,1.1370564436453787,-1.9383432299526004,-0.36024527966662057,-0.8211026364293516,-1.5023092904526725,0.15770766480985213,0.07646754065806341,-0.802828410092786,-0.3440104580768906,-0.36489342893166266,0.11706012581587512,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
51,0.0791226467640575,-0.5691222094846456,-0.9462788628854684,-1.2575236339651066,-0.8232327204485359,0.1431827154584747,-1.2938945365276084,-0.8782345453570396,-1.0877102888751013,-0.3370441832704309,-0.28264268850577756,-0.9542011226226225,-0.2844238606611821,0.9818573970419816,1.1741155293446932,-0.45980279307486804,-0.3440104580768906,-1.2289165602607348,1.0895596325939156,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
113,-0.7219941517220247,-0.14550252746588094,2.583370208606351,2.0503827682026667,1.2135947086175876,1.1956881212370307,1.4393200183482993,-0.15400321411474163,0.5337298721144008,-3.351254153495692,-0.4378478708274632,-0.23546929717895965,-0.2844238606611821,-0.9961019603151292,-1.0211804480285664,-1.196208029025033,-0.3440104580768906,0.24500525200650594,-1.0175226320918387,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
166,0.0791226467640575,1.3674249083154215,-0.7120841377627876,-0.45963666258795594,-0.9202245027850193,-0.46403194172146106,-0.5045184917981044,-0.7034200860916573,-0.29584416374069206,-0.5568303269326891,-0.17917256695798697,0.2170655558781614,2.9632706187827926,0.15770766480985213,-0.2371461703952594,0.9236002699263374,-0.3440104580768906,-0.8731423297134698,-0.0450231253137983,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
41,-0.7219941517220247,-1.1440346350815405,-0.3775202447303878,0.09722195285234883,-0.3382738087661259,0.1431827154584747,-0.17890087334718394,-0.40373815592243056,-0.635215360226868,1.0130706992263012,-0.28264268850577756,-0.07575111374703455,1.3394233790608052,-0.17195222808299968,-0.3939530259219208,0.09588291068010822,-0.3440104580768906,-0.2632436487753012,-0.2881480020083084,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
124,1.681356243736222,-0.14550252746588094,-0.4778894126401068,-0.08562714475491638,0.19518099408452233,-1.4355753932093578,0.5177234861266033,0.7450425763929386,1.0239327114833194,1.8922152738753353,-0.7999932962447299,1.0955155647537493,-0.2844238606611821,-0.9961019603151292,-1.0211804480285664,1.21936535355511,-0.3440104580768906,2.0747012948210117,-1.0175226320918387,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
78,0.8802394452501398,1.1556150673060392,-0.8459096949757471,-1.407127441098321,-0.7262409381120526,-1.1926895303373857,-1.0886567648979373,-0.8532610511762707,-1.3139577531992164,-0.08586001908499226,-0.17917256695798697,-0.9542011226226225,0.73048066416506,0.9818573970419816,1.1741155293446932,-0.6588893793133163,-0.3440104580768906,-1.1780916701825541,1.0895596325939156,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
119,0.0791226467640575,-0.11524397875025488,-0.8459096949757471,-1.407127441098321,-1.0172162851215028,-1.1926895303373857,-0.843950191031791,-0.7034200860916573,-1.0877102888751013,0.41650830928588506,-0.6447881139230444,-0.04913141650838038,0.73048066416506,-0.17195222808299968,-0.080339314868598,0.8417804585760885,-0.3440104580768906,-0.8731423297134698,-0.126064750878635,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
26,0.0791226467640575,0.7622539340029005,-0.8459096949757471,-1.407127441098321,-1.0172162851215028,-1.273651484628042,-1.1182583665752936,-0.9032080395378085,-1.3139577531992164,-0.08586001908499226,-0.17917256695798697,-0.9542011226226225,0.73048066416506,0.9818573970419816,1.1741155293446932,-0.6314598258664942,-0.3440104580768906,-1.2797414503389155,1.0895596325939156,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
137,0.8802394452501398,-0.5691222094846456,0.05741281621173095,1.0280900861256907,0.2921727764210057,0.9528022583650557,0.5749532493694924,-0.12902971993397275,0.8353931578798898,-0.5882283474558696,-0.28264268850577756,1.494811023333562,0.73048066416506,-0.9961019603151292,-0.7075667369752435,1.7279326673291762,-0.3440104580768906,0.29583014208468666,-0.8554393809621653,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
200,-1.5231109502081068,-0.84144914792528,1.7302322813737299,1.210939183732956,1.4560741644587925,0.7099163954930808,0.7821644611109871,0.37044016368140514,1.7403830151763549,-0.3370441832704309,-0.15330503657103944,0.27030495035546975,0.5274997591998115,-0.33678217452942555,-0.3939530259219208,-0.15662749516205948,-0.3440104580768906,1.312327943648301,-0.3691896275731451,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
117,-0.7219941517220247,1.1556150673060392,1.5462221402059109,1.0364014087442024,1.1650988174493424,0.9123212812197261,1.1334368010156164,0.1956257044160229,1.0993485329246917,-0.1486560601313519,-0.7999932962447299,1.0156564730377868,0.9334615691303083,-1.160931906761555,-1.0211804480285664,0.5668488535255329,-0.3440104580768906,0.956553713101036,-1.0985642576566754,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2,0.0791226467640575,-0.14550252746588094,-0.7120841377627876,-0.2518535971251562,-0.1927861352614043,-0.5449938960121203,0.5275906866857222,0.645148599669863,-2.4074871640991127,0.6676924734713238,-0.28264268850577756,1.3350928399016369,-0.2844238606611821,-0.9961019603151292,-0.7075667369752435,1.5513263216868247,1.5136460155383193,-0.7037260294528677,-0.8554393809621653,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
77,0.8802394452501398,1.1556150673060392,-0.8459096949757471,-1.407127441098321,-0.7262409381120526,-1.1926895303373857,-1.207063171607363,-0.8532610511762707,-1.3139577531992164,-0.08586001908499226,-0.17917256695798697,-0.9542011226226225,0.73048066416506,0.9818573970419816,1.1741155293446932,-0.5466313920587306,-0.3440104580768906,-1.1780916701825541,1.0895596325939156,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
46,0.8802394452501398,-0.14550252746588094,-0.46116121798848775,-0.13549508046598785,-0.3382738087661259,-0.9498036674654109,0.3519545167334075,-0.17897670829551052,0.4206061399523433,-0.08586001908499226,-0.23090762773188248,-0.3685677833722305,-0.2844238606611821,-0.17195222808299968,-0.2371461703952594,-0.767508003101419,-0.3440104580768906,0.19418036192832522,-0.2071063764434717,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
